Username,Konten,Lokasi
PUANnews,"#Pencapresan Puan Moncer jika Berduet dengan Gus Yahya - https://t.co/wtfCDK43in 
#PuanMaharani

https://t.co/c36UHYZw5b","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Relawan Puan Ikut Melestarikan Kebudayaan lewat Lomba Egrang - https://t.co/6RB1tx87am 
#PuanMaharani

https://t.co/QXZ2wRVbiL","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Begini Suasana Memilukan Saat Kebakaran Hebat Melanda Pasar Cik Puan Pekanbaru - https://t.co/6RB1tx87am 
#PuanMaharani

https://t.co/uUB0x1K7cZ","Gatakrejo, Nguter, Sukoharjo"
trashfromyourl,@tanyakanrl puan maharani,Indonesia
PUANnews,"#Gelar Lomba Egrang, Cara Relawan Puan Lestarikan Budaya - VIVA - https://t.co/KQfLvpkQwV 
#PuanMaharani

https://t.co/qSJ4wfJNm7","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Pasar Cik Puan Pekanbaru Terbakar, Seratusan Kios Tinggal Arang - https://t.co/6RB1tx87am 
#PuanMaharani

https://t.co/WPq664k5lt","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Seratusan kios di Pasar Cik Puan Pekanbaru terbakar - ANTARA 
#PuanMaharani

https://t.co/7igGc5MQZc","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Air Mata Pedagang Bercucuran, Kiosnya di Pasar Cik Puan ... - Tribun Pekanbaru 
#PuanMaharani

https://t.co/KwVmkRgRlV","Gatakrejo, Nguter, Sukoharjo"
MakhfudzSolaim1,@z_soleh @jokowi @prabowo @mohmahfudmd @titokarnavian_ @KemensosRI @puanmaharani_ri @cakimiNOW Hidup Hansip,"Cimahi Selatan, Indonesia"
RelawanPuan_ID,"Relawan Puan mengadakan Lomba Egrang yang diikuti ratusan warga, bertempat di Jalan Mbah Jambul, Desa Mundurejo, Kec. Umbulsari, Kab. Jember

Selain mendapat doorprize, peserta lomba juga mendukung Puan Maharani untuk maju Pilpres 2024.

#relawanpuan #2024bersamapuan https://t.co/FRgAJ5Sddc",
RelawanPuan_ID,"Relawan Puan membagikan ratusan paket bantuan sembako kepada masyarakat yang membutuhkan di Jalan Kenanga, Desa Sidorejo, Kec. Umbulsari, Kab. Jember

Selain senang atas kepedulian Relawan puan, warga juga mendukung Puan Maharani maju Pilpres 2024

#relawanpuan #2024bersamapuan https://t.co/c51deQloI5",
RadarKorupsi,"Sekali Hasto bicara dimedia, dua digit turun elektabilitas partai PDIP. @puanmaharani_ri","Apart Prada Menteng, Indonesia"
JatengTV,(11) Pemilik PT Perorangan bisa melakukan pemisahan kekayaan pribadi dan bisnis secara formal karena memiliki NPWP yang terpisah. #ptperorangan #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 #IndonesiaHebat #Jokowi https://t.co/HRqCfZUnue,"Semarang, Jawa Tengah"
ElangUtama2,@jokowi @Kiyai_MarufAmin @bamsoet10 @puanmaharani_ri @DPR_RI  https://t.co/IShiaHd3FM,South East Asia
Nandoreda123,@mku_manis @mohmahfudmd @jokowi @mohmahfudmd @KemensetnegRI @puanmaharani_ri @DPR_RI @KPK_RI @NarasiNewsroom @NajwaShihab @AimanWitjaksono,
JatengTV,(12) PT Perorangan memiliki kepastian hukum dan terdaftar resmi di Kemenkumham. Kedudukannya sama seperti PT biasa. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 #IndonesiaBangkit #Jokowi https://t.co/HRqCfZUnue,"Semarang, Jawa Tengah"
dian_e_,"@erickthohir keren pak,... jgn lupa mbak @puanmaharani_ri for president ya pak,... anda wakilnya. dapat tuh ticket dari mamak mega ...",(bahasa) bukan partisan partai
PutraPu24709275,@puanmaharani_ri sip.,
PutraPu24709275,@puanmaharani_ri tentunya asik tuh gedungnya.,
PutraPu24709275,@puanmaharani_ri banggsa produk Indonesia.,
PutraPu24709275,@puanmaharani_ri @kamiidea @HGLhouse keren.,
PutraPu24709275,@puanmaharani_ri @nyfw keren.,
PutraPu24709275,@puanmaharani_ri semoga dg memperingati Isra' Mi'raj kita dpt meneladani Rasulloh SAW. aamin.,
PUANnews,"#Pencapresan Puan Moncer jika Gandeng Gus Yahya atau Khofifah - RMOL 
#PuanMaharani

https://t.co/2im7ZI2jtV","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Tinjau Musibah Kebakaran Pasar Cik Puan, Pj Wali Kota Pekanbaru ... - Website Resmi Bagian Protokol dan Komunikasi Pimpinan Kota Pekanbaru 
#PuanMaharani

https://t.co/4BzbirbfoC","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Kebakaran Pasar Cik Puan, sedikitnya 50 kios hangus - ANTARA 
#PuanMaharani

https://t.co/A8iDYFdDez","Gatakrejo, Nguter, Sukoharjo"
HasanLind2,@puanmaharani_ri Selamat Isra' miraj 1444 H.,
