Username,Konten,Lokasi
danu_budiyono,"@bumnbersatu @ch_chotimah2 @prabowo @puanmaharani_ri Cengeng aja sih itu si lucky, krna pasti paham dan tahu betul apa yg akan dilakukan sbgai Wabup, apa yg didapat, haji fasiltas dll. Politisi cengeng nangisan..",
fatcat01012001,@brin_watch @jokowi @KSPgoid @msaid_didu @fadlizon @gibran_tweet @aniesbaswedan @SartonoHutomo @Suharso_M @mohmahfudmd @pakmul63 @Pak_JK @puanmaharani_ri Kemenkeu dan bappenas jg ogah nambah anggaran BRIN di 2023. Tidak ada arah yg jelas kok. Ini yg disebut DPR gagal konsolidasi anggaran. Terendah dlm sejarah. Klarifikasi BRIN seolah melempar masalah ke pihak lain padahal tidak menjawab substansi. Bola panasnya memang di BRIN.,
dhiengbr,Puan maharani mirip aku y,
TheUncleDee,"Inget ya, 
Semua Yang dateng kesini atas dasar Sukarela bukan KARENA ada yg bagi-bagi sembako..

Karena yg suka bagi bagi sembako, Kalau KORUPSI Gila-gilaan..

https://t.co/LugrtPOB6R

@aniesbaswedan 
@ganjarpranowo 
@puanmaharani_ri 
@PDI_Perjuangan 
@NasDem",
bumnbersatu,@AntoeniusH @ch_chotimah2 @prabowo @puanmaharani_ri Waduh.. Larange black label iku.. Ngombe dawet wae mas,KPK
mickolv_idas,@ch_chotimah2 @aniesbaswedan @abu_waras @Yurissa_Samosir @ganjarpranowo @03__nakula @Aryprasetyo85 @FayaAtika @Urrangawak Diobaral kesana kemari PDIP calonkan Puan Maharani🤣,
PUANnews,"#Safari Puan Bertujuan Cari Pasangan - RMOL 
#PuanMaharani

https://t.co/rrxa92J5JX","Gatakrejo, Nguter, Sukoharjo"
qwrtpsdfgh,"@DrEvaChaniago Apakah benar bu mega pernah ikut pengajian?
Atau apakah mungkin ibu ini begini karena tidak ada yg ngajak beliau ke pengajian?
Mari tanyakan ke @puanmaharani_ri","Lembang, Indonesia"
Hendrikorachman,"Khusus @Kemhan_RI pk @prabowo dan @DivHumas_Polri pk @ListyoSigitP,sumber tdk bayar pajak krn suka selingkuh.Kita no 2 se asia setelah thailant,SDA kita byk dicuri krn byk selingkuh aparat keamanan
Cc @jokowi @mohmahfudmd @puanmaharani_ri @AryaSinulingga @erickthohir @RamliRizal https://t.co/avFanKZRa3",
wawantotot90,@puanmaharani_ri bukannya teladan ibu puan dan ibu mega itu Ir.Soekarno ya?,pantura Jabar - Jabodebek pp
2ponakan,@DrEvaChaniago Mari saling mengingatkan bu @puanmaharani_ri  takutnya terjadi salah paham,Indonesia - West Java
makhluk_62,"@Uki23 @psi_id Prabowo Subianto - Puan Maharani yyuukkk gassskeunnn..

Hidupkan kembali perjanjian batu tulis.",
SadatMart,"@puanmaharani_ri emak lu puan, pliz dech..... Wakakakaka",
fatcat01012001,"@brin_watch @jokowi @KSPgoid @msaid_didu @fadlizon @gibran_tweet @aniesbaswedan @SartonoHutomo @Suharso_M @mohmahfudmd @pakmul63 @Pak_JK @puanmaharani_ri Per sept 2022, target dan realisasi jomplang. Tdk direvisi jg. Ya tdk salah kalau DPR nagih. Klarifikasi isinya menyalahkan sana sini. Padahal yg salah ya perencanaan yg acak adut. Terjadi di semua aspek. Eksekusi dulu nanti tinggal salahkan pihak lain. https://t.co/O8YznepZMP",
HaikhSmartikh,@puanmaharani_ri https://t.co/Y9uOXKpLxy,DKI Jakarta
cumaJamal,@ronavioleta @puanmaharani_ri sambil ingetin... semoga tetap istikomah ngejalanin oleh2 Isro' Mi'roj.... &amp; tetep ngaji dong... biar ada yg bilang buat apa sih ngaji..🙏,
HaikhSmartikh,"Mbak @puanmaharani_ri , bisa gak dinasihati Ibunya pensiun aja dari dunia politik, atau at least jangan boleh pidato lagi. Beliau memang salah satu wanita berpengaruh di Indonesia, rekam jejak melawan orba keren. Tapi maaf, makin sepuh makin megalomania Mbak.",DKI Jakarta
4rianto87,"@fxnetizen @tvOneNews @jokowi 
@mohmahfudmd 
 Presiden yang dari pdi p kah? Maksudnya.... 
@puanmaharani_ri",
luluksaru251,"@AdnanAgam1 @puanmaharani_ri amiin ya allah,,semoga di tahun ini hidup kita terus bertambah berkah,,",
luluksaru251,"@LuluFebbb @puanmaharani_ri Waktu terus berjalan kk,,jadi enggak kerasa",
luluksaru251,@novylumanauw @puanmaharani_ri Berkah dan sukses selalu mbak puan,
luluksaru251,"@ayukhanny @puanmaharani_ri amiin,,semoga perjalanan ku penuh dng kesabaran dan ketulusan",
luluksaru251,@Safitridede1 @puanmaharani_ri bismilah mbak puan the next presiden di 2024,
tyanmiza,"@STresnowat1 @aniesbaswedan @Dennysiregar7 @ch_chotimah2 Jika Anies Baswedan - Puan Maharani di sandingkan, tidakkah Bau Nasakom akan tercium ?",
NazarRizky17,@Boediantar4 Bgmn @puanmaharani_ri adakah dikau pikirkan ini?😪,KulonUjung
luluksaru251,"@JohanSulistyo7 @puanmaharani_ri bermunajab sm AllaH,,minta ampun kepada AllaH,,dan insyaallah meningkatkan beribadah",
luluksaru251,@SinegerA @puanmaharani_ri amin allhuma amin ya robb,
luluksaru251,@PertamaPpratama @puanmaharani_ri jangan lupa bersyukur kepada AllaH SWT,
luluksaru251,"@RitasariiSari @puanmaharani_ri Bismilah,,untk belajar terus meneladani akhlak beliau nabi besar Muhamad SAW",
luluksaru251,@muhammadd_deni @puanmaharani_ri menjadikan panutan Sunah Rosulullah SAW,
luluksaru251,@stephaneioi @puanmaharani_ri banyak bershalawat kpd nabi agar hati tenang,
luluksaru251,@yhendarsyah @puanmaharani_ri Kedamaian pada islam dan negriku,
luluksaru251,@rauliamawati @puanmaharani_ri lebih khusuk dalam beribadah kepada AllaH SWT,
ronavioleta,@abi_hasna @puanmaharani_ri Super...,
luluksaru251,@AurelTritania @puanmaharani_ri Penuh hikmah dan Rahmat untuk umat muslimin di dunia,
luluksaru251,@puanmaharani_ri Hidup akan tenang jika ibadah kita kuat,
AfifahKirana2,"@AurelTritania @artisindo8 @puanmaharani_ri Do'a,,iman dan ketaqwaan",
AfifahKirana2,@KynanPutri4 @JohanSulistyo7 @puanmaharani_ri Tenang dalam menjalani kehidupan sehari hari,
AfifahKirana2,@JohanSulistyo7 @puanmaharani_ri semangat untuk terus meningkatkannya,
AfifahKirana2,@artisindo8 @puanmaharani_ri Semua tidak kepedulian orang orang segera di hapuskan,
AfifahKirana2,@stephaneioi @puanmaharani_ri Butiran dosa yg tak terhingga,
AfifahKirana2,@muhammadd_deni @puanmaharani_ri Jadikan shalat 5 waktu pedoman hidup dan tiang agama yg sekuat kuatnya,
AfifahKirana2,@AurelTritania @puanmaharani_ri ada Hikmah dan Rahmat umat muslim,
AfifahKirana2,@rauliamawati @puanmaharani_ri Lebih taat dalam beribadah,
AfifahKirana2,"@yhendarsyah @puanmaharani_ri amiin,,mempersatukan umat islam dunia",
AfifahKirana2,"@puanmaharani_ri Insyaallah setelah Isra Mi'raj ini,,umat muslim makin mempersatukan Ukhuwah islamiyah",
KynanPutri4,@SinegerA @puanmaharani_ri Amiin ya allah,
KynanPutri4,@JohanSulistyo7 @puanmaharani_ri Insyaallah bisa di tingkatkan lagi ibadahnya biar hati bisa tenang,
KynanPutri4,@PertamaPpratama @puanmaharani_ri Bismillah menjalani hidup lebih positif lagi,
KynanPutri4,"@RitasariiSari @puanmaharani_ri Amiin,,Semoga kita bisa meneladani dan mengikuti jejak Rosulullah SAW",
KynanPutri4,@stephaneioi @puanmaharani_ri Banyak2 istighfar kakk,
KynanPutri4,@muhammadd_deni @puanmaharani_ri Kejujuran dan kesabaran kunci dr kehidupan,
KynanPutri4,@AurelTritania @puanmaharani_ri di rahmatin berkah di dunia,
KynanPutri4,@rauliamawati @puanmaharani_ri Lebih giat dalam beribadah,
KynanPutri4,"@yhendarsyah @puanmaharani_ri Semoga kedamaian menyertai negriku dan dunia,,amiin",
KynanPutri4,"@puanmaharani_ri Selamat hari isra Mi'raj,,jadikan moment ini sebagai salah satu di antara pelecut smemangat guna mempersatukan umat Islam di dunia",
Wedhuzjr,@liputan6dotcom Sy mendukung Puan Maharani menjadi pasangan Anies Bawesdan biar jd PUAS.. Membuat PUAS para penonton n buzzer,"East Java, Indonesia"
JatengTV,(12) PT Perorangan memiliki kepastian hukum dan terdaftar resmi di Kemenkumham. Kedudukannya sama seperti PT biasa. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 #IndonesiaBangkit #Jokowi https://t.co/HRqCfZUnue,"Semarang, Jawa Tengah"
Funiculifunicu5,@brin_watch @msaid_didu @jokowi @KSPgoid @fadlizon @gibran_tweet @aniesbaswedan @SartonoHutomo @Suharso_M @mohmahfudmd @pakmul63 @Pak_JK @puanmaharani_ri Kok pingin meroket...piye ki?,"Tanjung Priok, Indonesia"
abi_hasna,"@ronavioleta @puanmaharani_ri Seandainya ibu itu ikut pengajian, terus menggerakkan anak buahnya untuk mengikuti pengajian .....

Dahsyat",indonesia
yforyayas,@nmapsran @puanmaharani_ri 😫,jkt
AdnanAgam1,@LuluFebbb @puanmaharani_ri Waktu terus berjalan,
AdnanAgam1,"@TiaraResmi00 @puanmaharani_ri Tenang,,lebaran sebentar lagi kok",
AdnanAgam1,@DedigDedigt @puanmaharani_ri Menjalankan sunah Rosulullah dalam kehidupan sehari-hari,
AdnanAgam1,@FreyaFreeea @puanmaharani_ri Allhuma sholli ala sayyidina muhamad,
AdnanAgam1,@RitasariiSari @puanmaharani_ri Meneladani akhlak mulia beliau dan mengikuti jejak kebaikannya,
AdnanAgam1,@artisindo8 @puanmaharani_ri Tak perlu janji kakak yang penting Bukti sekarang ini,
AdnanAgam1,@AurelTritania @puanmaharani_ri semoga kita selalu dalam rahmatan lil alamin dan selalu dlm lindungan AllaH SWT,
mnajmytsss,"Ini nenek nenek satu lagi diazab kayanya, omongan sama gaya ngomongnya kaya orang putus urat saraf. @puanmaharani_ri coba  diurus bu, nanti tetiba struk kan repot apalagi depan kamera gini, dijadiin meme kan lucu banget pasti.",somewhere in paradise
AdnanAgam1,@yhendarsyah @puanmaharani_ri Kedamaian untuk seluruh umat muslim sedunia,
AdnanAgam1,@JohanSulistyo7 @puanmaharani_ri Taubatan Nasuha / taubat yg sungguh-sungguh agar tak menyesal di kemudian hari,
AdnanAgam1,@puanmaharani_ri Selamat memperingati Isra Mi'raj 1444 Hijriah untk umat muslim sedunia,
dea29808,@SinegerA @puanmaharani_ri Amiin ya allah ya robb,
dea29808,"@JohanSulistyo7 @puanmaharani_ri tingkatkan lagi kk ibadahnya,,kk pasti bisa,,yakinilah",
dea29808,@PertamaPpratama @puanmaharani_ri Pemimpin yg menuntun kita dari jalan kegelapan menuju jalan yg cahayanya terang benderang,
dea29808,@RitasariiSari @puanmaharani_ri Nabi Muhammad SAW menjadi suri tauladan kita  dlm keseharian,
dea29808,@stephaneioi @puanmaharani_ri Taubat Nasuha,
ronavioleta,"Bakalan ketagihan yaaa...
Dengan ikut pengajian di sela² nunggu anak sekolah, bisa nge charge iman dan nambah ilmu....jadi ga bete dg urusan rumah dan anak terus. Malah tambah semangat utk memperbaiki diri menjadi ibu dan istri yg baik.
Cc ke mbok ya mb @puanmaharani_ri",
dea29808,@muhammadd_deni @puanmaharani_ri karena Shalat adalah tiang agama yg kokoh,
Orangbiasaajeh,@cholilnafis @puanmaharani_ri sampein neh ke emak lu,
dea29808,@AurelTritania @puanmaharani_ri Rahmatan lil alamin,
dea29808,@rauliamawati @puanmaharani_ri Yok kita tingkatkan ibadah nya,
dea29808,@yhendarsyah @puanmaharani_ri Damai lah terus negriku,
nmapsran,"Matahari pagi ini sangat cantik, seperti senyumanmu kepadaku saat itu 
@puanmaharani_ri https://t.co/BZWMhlBuec","Ohio, USA"
dea29808,@puanmaharani_ri Semoga setiap langkah kita selalu meneladani Rasulullah SAW,
Zia1111,@ayukhanny @puanmaharani_ri Aamiin ya rabbal alamin,
Zia1111,@BellaB6225355 @puanmaharani_ri Semoga berkah untuk umat muslim,
Zia1111,@Safitridede1 @puanmaharani_ri Bismillah presiden kita 2024 Bu Puan Maharani,
Zia1111,@DedigDedigt @puanmaharani_ri Semoga keindahan bulan Rajab tertanam dalam hati dan benak kita,
Zia1111,@RitasariiSari @puanmaharani_ri Semoga momen ini dapat mengingatkan kita untuk meningkatkan habluminanas dan habluminAllah,
titusthok,@yaniarsim Maaf beribu maaf mohon Bu @puanmaharani_ri ibu nya diingatkan jangan suka cari musuh,
Zia1111,@qaidu3 @puanmaharani_ri Allah SWT mahal pemberi pengampun pada hambaNya,
Zia1111,@Anih_idayah @puanmaharani_ri Berkah slalu buat kaum muslim,
Ahmadbsm3,"Ini org yg gk suka pengajian,mangkanya suka buat kerusakan dan smg tdk dibiarkan berlarut2 @puanmaharani_ri @mohmahfudmd @_TNIAL_ @Puspen_TNI @Cakra_Kostrad",
PUANnews,"#Puan Maharani Kembali Dapat Dukungan Maju di Pemilu 2024, Kini Datang dari Bondowoso - https://t.co/TW01HQ3ELV 
#PuanMaharani

https://t.co/bnTMHzLmdc","Gatakrejo, Nguter, Sukoharjo"
liputan6dotcom,"Puan Maharani Kembali Dapat Dukungan Maju di Pemilu 2024, Kini Datang dari Bondowoso https://t.co/qT6fE3yJa4",INDONESIA
sabronaiditnusa,"@puanmaharani_ri puan maharani..jelaskan apa itu isra miraj..
tentu anda pandai' kan ketua dpr wanita pertama indinesia kan,",
sabronaiditnusa,@STresnowat1 @aniesbaswedan @Dennysiregar7 @ch_chotimah2 puan maharani kui sopo,
AntoeniusH,@bumnbersatu @ch_chotimah2 @prabowo @puanmaharani_ri Semua taik om Arief...ayo om...nyalon ta dukung ta support Black Label🤣🤣😇.....om arief idolaaah,
r_cendolin,Ketika isi otak dan isi dompet tidak sinkron seperti inilah yg terjadi @gibran_tweet @jokowi @mardigu024 @rockygerung @msaid_didu @puanmaharani_ri @aniesbaswedan @kaesangp @ridwankamil @DokterTifa https://t.co/TD0OU3tJCZ,
wangkyberdikari,"@AurelTritania @puanmaharani_ri Dalam menjalani kehidupan, bersemangatlah lakukan yang terbaik, terus menerus dan teratur seperti halnya shalat 5 waktu",salam satu jiwa
untukmbak_puan,dukung mbak puan menuju RI 1 #tetappuan #puanmaharani #puanmaharaniri @puanmaharaniri @pdiperjuangan https://t.co/XrBsDvheEf,"Kota Bandung, Jawa Barat"
Zia1111,@dita16577 @puanmaharani_ri Selamat memperingati Isra Miraj 1444 H. Marilah kita memohon berkah dan pengampunan dari Allah SWT,
Zia1111,@yhendarsyah @puanmaharani_ri Cinta kedamaian,
Zia1111,@rauliamawati @puanmaharani_ri Semoga kita semua lebih taat lagi dalam melaksanakan shalat,
Zia1111,@AurelTritania @puanmaharani_ri Semoga kita dalam lindungan Nya,
Zia1111,@puanmaharani_ri Isra Miraj adalah perjalanan satu malam Nabi Muhammad SAW,
tri910721,@qaidu3 @AsgarMerah @puanmaharani_ri Keagungan dan kekuasaan Nya,
tri910721,@muhammadd_deni @marufali6797 @puanmaharani_ri Aamiin semoga kita termasuk penghuni surga,
tri910721,@mariookam395 @puanmaharani_ri Selamat hari raya isra mi'raj Bu Puan,
tri910721,@FreyaFreeea @puanmaharani_ri Mari kita memuji perjalanan Nabi Muhammad dan mengambil inspirasi dariNya,
masmasaj,@cubblez @puanmaharani_ri Idola ak itu,
tri910721,@dita16577 @puanmaharani_ri Selamat hari isra mi'raj juga,
tri910721,@acikcika6 @puanmaharani_ri Semoga kita semua menjadi hambaNya yang selalu bersyukur,
tri910721,@Anih_idayah @puanmaharani_ri Selamat hari libur bersama keluarga,
tri910721,@PertamaPpratama @puanmaharani_ri Bersyukur cara kita berterima kasih kepada sang Pencipta,
tri910721,@DedekIak @RitasariiSari @puanmaharani_ri untuk kita memperbaiki ibadah kepada Allah SWT,
tri910721,@RitasariiSari @puanmaharani_ri Aamiin semoga saja kita bisa meneladani akhlak Nabi Muhammad SAW,
tri910721,@puanmaharani_ri Sebagai hari istimewa untuk mengenang perjalanan agung Nabi Muhammad saw. Mari kita semua senantiasa berbuat kebaikan,
BellaB6225355,"@AyahKami3 @puanmaharani_ri semoga semakin bertambah syukur kita, dan semakin bermanfaat hidup kita untuk orang lain",
BellaB6225355,@MitaSitiii @puanmaharani_ri Tetap istiqomah dijalan Allah,
BellaB6225355,@KomalaVivie @puanmaharani_ri Perlahan lahan insyaallah kita bisa dan kita mampu,
BellaB6225355,@acikcika6 @puanmaharani_ri Isra Miraj mengingatkan betapa Rasulullah sangat menyayangi umatnya hingga saat ini,
unbrokeablee,@dyahayupuan @convomfs puan maharani,
BellaB6225355,@marufali6797 @puanmaharani_ri menjalani hidup dengan penuh rasa syukur dan keimanan,
BellaB6225355,@PdipSolid @puanmaharani_ri Dengan mengucapkan bismillah semoga kita bisa meneladani Nabi Muhammad SAW,
BellaB6225355,@dita16577 @puanmaharani_ri Semoga kita semua hidup dalam bersyukur,
BellaB6225355,@yhendarsyah @puanmaharani_ri Hidup menjadi trentam bila adanya kedamaian,
BellaB6225355,@AurelTritania @puanmaharani_ri tiada kata seindah doa hanya Allah SWT sebaik-baiknya tempat meminta,
BellaB6225355,@artisindo8 @puanmaharani_ri Selamat datang bulan mulia,
BellaB6225355,@puanmaharani_ri Bulan Rajab bulan Isra Miraj,
kabar_dpr,"Puan Maharani Tegaskan Komitmen RI Atasi Perubahan Iklim di Depan Presiden PBB

#KabarDPR #NewsUpdate #news #nasional #PuanMaharani #PBB
https://t.co/Fh4hTfhaGv","DKI Jakarta, Indonesia"
BDawenk,"@GheaJhanaLie7 @MustamingNanda @PdiperjuanganP @puanmaharani_ri Sipoltak ini Jenis peliharaan yang dilindungi penguasa, jadi agak sulit buat disentuh... 
Tapi bukan gak mungkin",
DeniAryo121,@puanmaharani_ri omongan ibu mu lucu.. ga malu apa sm gelar giveaway yg berderet deret spt gerbong kereta..😂😂🤣🤣,
dita16577,@artisindo8 @puanmaharani_ri Tanamkan pada diri sendiri untuk saling menyayangi,
kalemdudeee,@sosmedkeras Harus banget gitu Jokowi Ama Puan Maharani di paling Kepakkan Sayap,"Makassar, Indonesia"
dita16577,@muhammadd_deni @puanmaharani_ri Dalam hal apa pun kejujuran itu memang penting,
dita16577,"@yhendarsyah @puanmaharani_ri Damai di bumi, damai beragama meski berbeda akidah",
dita16577,@acikcika6 @AyahKami3 @puanmaharani_ri Semoga berkah selalu melimpahi kita semua,
dita16577,@firmaansyah_ari @puanmaharani_ri Mari kita memuji apa yang dilihat Muhammad dan juga tidak lupa memuji makna perjalanannya,
Dylan80an,"@puanmaharani_ri 
@PdiperjuanganP
@DPP_PKB
@KetumDPPPAN 
@golkar_id 
@Fraksi_Gerindra 
@NasDem 
@PDemokrat 
@PKSejahtera https://t.co/FpBSBAsbSg",
puanpresiden24_,Puan Maharani #tetappuan #puanmaharani https://t.co/RyDdN201fK,
puanpresiden24_,Puan Maharani #tetappuan #puanmaharani https://t.co/XnRB7KTDYY,
puanpresiden24_,Puan Maharani #tetappuan #puanmaharani https://t.co/058cMGAy7a,
puanpresiden24_,Puan maharani #tetappuan #puanmaharani https://t.co/D5z5oKbWJI,
ElangUtama2,@jokowi @puanmaharani_ri @bamsoet10 @Puspen_TNI Any creative excuses as usually be accomplished by those who are directly ACCOUNTABLE FOR?,South East Asia
puanpresiden24_,Puan Maharani #tetappuan #puanmaharani https://t.co/mkLe4qx6t4,
puanpresiden24_,Puan Maharani #tetappuan #puanmaharani https://t.co/Ne3cMcGWOX,
puanpresiden24_,Puan Maharani #tetappuan #puanmaharani https://t.co/224PyKC1Kh,
dita16577,@muhammadd_deni @puanmaharani_ri Makna dari Isra mi'raj tentang kesabaran yang luar biasa yang dimiliki Nabi Muhammad SAW,
nikki59244613,@bumnbersatu @ch_chotimah2 @prabowo @puanmaharani_ri Pàtut diacungi jempol sangat langka org indo esia mau ngundurkan diri....ini adalah yg ditunggu pejabat publik berani mengundurkan diri jika merasa tdk bisa memenuhi janji2 kampanye nya..,
myputun,"Muncul Wacana Duet Puan Maharani dengan Yusril Ihza, Netizen Sebut Lebih Adem dari Geng Sebelah, Nyindir Anies? https://t.co/wwbkvC3vSm",
dita16577,@qaidu3 @AsgarMerah @puanmaharani_ri Isra Miraj adalah salah satu peristiwa penting dalam sejarah Islam,
FranTonga,@bumnbersatu @ch_chotimah2 @prabowo @puanmaharani_ri Cengeng,
Itsmekinannn,@tanyakanrl W sama kaya bu @puanmaharani_ri sama @DPRIAN_ 😭🙏,
dita16577,@DedigDedigt @muhammadd_deni @puanmaharani_ri Isra Miraj adalah salah satu peristiwa penting dalam sejarah Islam,
dita16577,@RitasariiSari @muhammadd_deni @puanmaharani_ri tetap dan berpendirian kuat walaupun menghadapi berbagai cobaan,
PUANnews,"#?Petani di Bondowoso Mendukung Puan Maharani Maju di Pilpres 2024 - https://t.co/6RB1tx87am 
#PuanMaharani

https://t.co/fWuYdzV3lR","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Petani Bondowoso Dukung Puan Maharani Maju Pilpres 2024 - Okezone Foto 
#PuanMaharani

https://t.co/udJz4gvyBK","Gatakrejo, Nguter, Sukoharjo"
risecooks,now i understand why puan maharani is like that,多摩川の向こう
MasBroJowoNKRI,@bumnbersatu @ch_chotimah2 @prabowo @puanmaharani_ri Gak jauh2 dari fulus lah..,
sahalmunir47,@aniesbaswedan sudah memulai. @ganjarpranowo @cakimiNOW @prabowo @puanmaharani_ri @Fahrihamzah silakan ditanggapi,"Salatiga, Jawa Tengah"
dita16577,@AyahKami3 @rauliamawati @puanmaharani_ri Semoga di bulan penuh makna ini dan seterusnya kita dapat menjaga keimanan Islam dan selalu berada dalam lindungan-Nya,
dita16577,@AurelTritania @puanmaharani_ri Semoga di bulan penuh makna ini dan seterusnya kita dapat menjaga keimanan Islam dan selalu berada dalam lindungan-Nya,
dita16577,@puanmaharani_ri Selamat Isra Miraj saudaraku,
ely163535,@ArahanRudi @puanmaharani_ri Isra Miraj menyadarkan kita akan mukjizat yang Allah berikan pada Nabi Muhammad SAW,
ely163535,"@KomalaVivie @puanmaharani_ri Selalu jaga shalatmu, Rasulullah telah memperjuangkan ibadah ini untuk seluruh umat muslim yang ada di dunia",
ely163535,@qaidu3 @puanmaharani_ri Saling memaafkan salah satu ajaran Nabi Muhammad SAW,
ely163535,@ayukhanny @puanmaharani_ri Semoga sikap saling tolong menolong tetap kita jaga,
JatengTV,"(03) Pemilik PT Perorangan menjadi pemeran utama dalam mengatur kebijakan perusahaannya, termasuk dalam hal pengolahan data dan keuangan. #ptperorangan #sange #ciptakerja #indonesia #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue","Semarang, Jawa Tengah"
ely163535,@artisindo8 @puanmaharani_ri Islam adalah agama yang penyayang,
jpnncom,?Petani di Bondowoso Mendukung Puan Maharani Maju di Pilpres 2024 #Puan https://t.co/LM2aWCytFv,Indonesia
Veronikaaja01,@acikcika6 @puanmaharani_ri Amin mbak mudah2han ya mbak,
ely163535,"@DedigDedigt @puanmaharani_ri Semoga kita selalu mampu menjaga shalat setiap saat, hingga ajal menjemput",
Veronikaaja01,@ayukhanny @puanmaharani_ri Semoga kita bisa konsisten bertakwa kepadaNya Amin,
Veronikaaja01,@PertamaPpratama @puanmaharani_ri Sma sama bang,
ely163535,@DedigDedigt @puanmaharani_ri Mari jadikan hari Isra Miraj ini sebagai dorongan bagi kita untuk memperbanyak melakukan amal kebaikan dan beribadah kepada Allah SWT,
Veronikaaja01,@Anih_idayah @AndiniRifkia @puanmaharani_ri Apalagi kalo gak pernah solat banyak melakukan dosa merasa bersalah,
Veronikaaja01,@stephaneioi @AndiniRifkia @puanmaharani_ri Semua rindu beliau,
Veronikaaja01,@AndiniRifkia @puanmaharani_ri Sudah isra miraj semoga bisa lebih baik lagi,
Veronikaaja01,@rauliamawati @puanmaharani_ri jaga selalu keimanan kita,
ely163535,"@AurelTritania @puanmaharani_ri marilah kita berdoa kepada Yang Maha Kuasa dengan menundukkan kepala dan mengangkat tangan, berdoalah agar selalu diberikan kesehatan dan terlindung dari segala bahaya",
Veronikaaja01,@rauliamawati @puanmaharani_ri Momen tepat membmperbaiki diri,
devaannaa,@AaHendrik8 @PDI_Perjuangan @puanmaharani_ri rezim koplak.. gagal framing radikul.khilafah akhirnya orang mengaji pu jadi BACOT bego'😂,"Wakatobi, Sulawesi Tenggara"
Veronikaaja01,@puanmaharani_ri Smwoga saja ibu bisa konsisten,
anjishope,@yhendarsyah @FreyaFreeea @puanmaharani_ri Amin semoga saja,
anjishope,@stephaneioi @FreyaFreeea @puanmaharani_ri Sedih aja lu tetap semangat,
ely163535,@AyahKami3 @rauliamawati @puanmaharani_ri Shalat lima waktu fondasi dari takwa kita kepada Allah,
anjishope,@KomalaVivie @FreyaFreeea @puanmaharani_ri Iya sudah jelas,
anjishope,@FreyaFreeea @puanmaharani_ri Amin semoga kita selalu dilimpahkan berkah dengan bersalawat,
anjishope,@TiaraResmi00 @yhendarsyah @puanmaharani_ri Ide apa yg jelas dong,
anjishope,@qaidu3 @yhendarsyah @puanmaharani_ri Iy bener banget harus menjaga kedamaian sesama umat antar beragama,
ely163535,@AurelTritania @puanmaharani_ri Semoga semua orang mendapatkan kebahagiaan dan kesejahteraan pada peringatan Isra Miraj 2023,
anjishope,@acikcika6 @yhendarsyah @puanmaharani_ri Mudah2han ya mbak,
zubair_andika,Berjuta juta maaf Mbak @puanmaharani_ri tolong ibu tercinta kita di suruh di rumah saja. Ksian kayaknya terlalu banyak beban di kepala anak Soekarno ini.,
anjishope,@qaidu3 @yhendarsyah @puanmaharani_ri Sepakt,
ely163535,@puanmaharani_ri Mari perbanyak amalan dan kebaikan sebagaimana yang dicontohkan Nabi Muhammad SAW agar kita menjadi umatnya yang beruntung,
anjishope,@rauliamawati @yhendarsyah @puanmaharani_ri Iya bEtul banget,
anjishope,@yhendarsyah @puanmaharani_ri Smoga memberikan kedamaian bagi kita semua,
anjishope,@puanmaharani_ri Amin bu kita sm2 berdoa ya bu,
Alfians090,@muhammadd_deni @artisindo8 @puanmaharani_ri Sngat besar pengrorbanan beliau kepada umatnya kita sngat bersukut kepada Allah,
qaidu3,@novylumanauw @puanmaharani_ri Semoga kesuksesan berpihak pada Ibu Puan,
Alfians090,@PertamaPpratama @artisindo8 @puanmaharani_ri Semua makluk memuji kebesaran Allah,
Alfians090,@AurelTritania @artisindo8 @puanmaharani_ri Amin ya Allah kami memohon kepadamu,
qaidu3,@PertamaPpratama @puanmaharani_ri Hidup didunia ini memang harus banyak-banyak bersyukur,
Alfians090,@AyahKami3 @artisindo8 @puanmaharani_ri Mashaallah betul banget,
Alfians090,@DedigDedigt @artisindo8 @puanmaharani_ri Setuju sekali harus kita sambut dengan bahagia,
qaidu3,@Safitridede1 @puanmaharani_ri InsyaAllah presiden RI 2024 Bu Puan Maharani,
Alfians090,@yhendarsyah @artisindo8 @puanmaharani_ri Amin ya Allah semoga negeri ini selalu diberikan kedamaian daan kesejateraan,
Alfians090,@artisindo8 @puanmaharani_ri Inshaalah,
qaidu3,@marufali6797 @puanmaharani_ri mari kita berikan bantuan kepada yang membutuhkan di masyarakat seperti yang dilakukan Rasulullah untuk seluruh umat manusia,
Alfians090,@AyahKami3 @AurelTritania @puanmaharani_ri Amin smoga ya dek,
qaidu3,@AsgarMerah @puanmaharani_ri Semoga kisah perjalanan Isra Miraj Nabi Muhammad SAW menjadi pengingat kita mengenai kebesaran Allah SWT,
Alfians090,@DedigDedigt @AurelTritania @puanmaharani_ri Besar banget bang memang jasa beliau kepada umat nya,
Alfians090,@AurelTritania @puanmaharani_ri Ami nsemiga selalu diberikan rahmat,
Alfians090,@puanmaharani_ri Selamat hari isra miraj ya bu amin semoga sj bu,
